时间,电导1,电导2,电导3
214,1391,472,70
215,1385,472,71
216,1385,475,71
217,1380,479,71
218,1375,479,73
219,1375,481,74
220,1371,484,74
221,1366,484,76
222,1366,487,77
223,1360,490,77
224,1354,490,78
225,1354,494,79
226,1349,498,79
227,1349,498,81
228,1344,501,81
229,1339,501,82
230,1339,505,84
231,1335,507,84
232,1329,507,85
233,1329,511,86
234,1325,514,86
235,1320,514,88
236,1320,516,89
237,1315,520,89
238,1310,520,91
239,1310,523,92
240,1305,527,92
241,1300,527,94
242,1300,529,96
243,1296,529,96
244,1296,532,97
245,1294,536,97
246,1289,536,99
247,1289,538,100
248,1285,541,100
249,1281,541,102
250,1281,543,103
251,1276,545,103
252,1272,545,105
253,1272,547,107
254,1268,551,107
255,1264,551,108
256,1264,554,110
257,1260,556,110
258,1260,556,112
259,1257,559,112
260,1252,559,112
261,1252,562,113
262,1249,564,113
263,1244,564,115
264,1244,566,117
265,1240,569,117
266,1238,569,119
267,1238,571,120
268,1234,574,120
269,1230,574,121
270,1230,576,123
271,1226,578,123
272,1222,578,125
273,1222,580,127
274,1218,582,127
275,1218,582,127
276,1214,584,127
277,1211,584,128
278,1211,587,129
279,1207,589,129
280,1203,589,131
281,1203,591,132
282,1200,593,132
283,1196,593,134
284,1196,595,136
285,1192,597,136
286,1189,597,137
287,1189,599,139
288,1186,602,139
289,1182,602,139
290,1182,604,141
291,1178,606,141
292,1175,606,142
293,1175,608,142
294,1171,608,145
295,1171,609,148
296,1170,611,148
297,1166,611,148
298,1166,613,149
299,1163,615,149
300,1159,615,151
301,1159,615,153
302,1155,618,153
303,1152,618,154
304,1152,618,156
305,1149,620,156
306,1146,620,158
307,1146,622,159
308,1142,622,159
309,1142,624,160
310,1139,626,160
311,1135,626,162
312,1135,627,163
313,1132,629,163
314,1129,629,165
315,1129,631,166
316,1126,632,166
317,1123,632,168
318,1123,634,169
319,1119,635,169
320,1116,635,169
321,1116,637,172
322,1114,638,172
323,1111,638,172
324,1111,639,174
325,1107,639,174
326,1107,641,176
327,1104,642,176
328,1102,642,178
329,1102,644,179
330,1099,645,179
331,1096,645,180
332,1096,646,182
333,1092,646,182
334,1092,649,184
335,1089,650,184
336,1086,650,185
337,1086,651,185
338,1083,652,185
339,1079,652,187
340,1079,653,189
341,1075,653,189
342,1075,655,190
343,1071,656,190
344,1066,656,192
345,1066,658,193
346,1062,659,193
347,1058,659,194
348,1058,660,196
349,1054,662,196
350,1050,662,197
351,1050,663,198
352,1046,665,198
353,1042,665,200
354,1042,667,201
355,1038,668,201
356,1038,668,203
357,1034,669,203
358,1030,669,204
359,1030,671,206
360,1026,672,206
361,1023,672,207
362,1023,673,209
363,1020,674,209
364,1018,674,210
365,1018,676,212
366,1015,677,212
367,1010,677,214
368,1010,678,215
369,1007,680,215
370,1004,680,217
371,1004,680,219
372,1000,680,219
373,1000,681,221
374,997,683,221
375,993,683,222
376,993,684,223
377,990,685,223
378,987,685,225
379,987,686,227
380,983,687,227
381,980,687,228
382,980,688,230
383,977,689,230
384,974,689,232
385,974,690,233
386,971,691,233
387,967,691,235
388,967,692,235
389,964,693,235
390,964,693,237
391,961,694,237
392,958,694,239
393,958,695,240
394,955,696,240
395,952,696,242
396,952,697,244
397,949,698,244
398,946,698,246
399,946,699,247
400,942,699,247
401,940,699,249
402,940,700,250
403,937,701,250
404,934,701,252
405,934,702,254
406,931,703,254
407,928,703,255
408,928,704,255
409,925,704,256
410,925,704,257
411,921,705,257
412,918,705,259
413,918,706,261
414,915,706,261
415,914,706,262
416,914,707,264
417,912,708,264
418,909,708,265
419,909,708,267
420,906,709,267
421,903,709,268
422,903,710,270
423,901,710,270
424,898,710,271
425,898,711,273
426,894,711,273
427,894,711,274
428,892,712,274
429,889,712,276
430,889,712,278
431,887,713,278
432,884,713,279
433,884,714,280
434,881,714,280
435,879,714,282
436,879,715,283
437,876,715,283
438,873,715,284
439,873,716,286
440,871,716,286
441,869,716,287
442,869,717,288
443,866,717,288
444,866,717,289
445,863,717,289
446,861,717,291
447,861,718,292
448,858,718,292
449,855,718,294
450,855,719,295
451,853,720,295
452,850,720,296
453,850,720,298
454,848,720,298
455,845,720,300
456,845,721,300
457,843,721,300
458,841,721,302
459,841,721,303
460,838,721,303
461,838,721,304
462,835,722,304
463,833,722,306
464,833,722,307
465,832,722,307
466,829,722,308
467,829,723,309
468,827,723,309
469,825,723,310
470,825,724,312
471,822,723,312
472,820,723,313
473,820,724,315
474,817,724,315
475,816,724,317
476,816,725,318
477,813,724,318
478,813,724,320
479,810,725,320
480,808,725,321
481,808,725,322
482,805,725,322
483,802,725,324
484,802,726,325
485,800,726,325
486,797,726,325
487,797,727,326
488,795,727,326
489,792,727,326
490,792,727,327
491,789,727,327
492,786,727,329
493,786,726,330
494,783,726,330
495,783,727,331
496,780,727,331
497,778,727,333
498,778,727,336
499,775,727,336
500,772,727,338
501,772,728,339
502,770,728,339
503,767,728,339
504,767,728,340
505,765,728,340
506,762,728,341
507,762,728,342
508,760,728,342
509,757,728,344
510,757,729,345
511,754,729,345
512,754,728,347
513,751,729,347
514,751,729,349
515,751,728,349
516,749,728,349
517,746,728,349
518,746,729,352
519,743,729,352
520,741,729,353
521,741,729,354
522,739,729,354
523,738,729,356
524,738,728,356
525,735,729,356
526,733,729,359
527,733,729,360
528,730,729,360
529,730,729,360
530,727,729,360
531,726,729,361
532,726,728,362
533,723,729,362
534,722,729,363
535,722,728,365
536,720,729,365
537,718,729,367
538,718,729,368
539,716,729,368
540,713,729,369
541,713,729,370
542,711,728,370
543,709,728,371
544,709,728,371
545,707,728,372
546,707,728,373
547,705,728,373
548,703,728,375
549,703,728,375
550,701,728,375
551,699,728,377
552,699,728,378
553,697,727,378
554,695,727,379
555,695,727,381
556,693,727,381
557,690,727,381
558,690,727,382
559,689,727,382
560,687,727,384
561,687,727,385
562,685,727,385
563,685,726,386
564,684,726,386
565,682,726,387
566,682,726,388
567,680,726,388
568,678,726,389
569,678,726,390
570,677,726,390
571,674,726,392
572,674,726,392
573,673,725,392
574,671,725,393
575,671,725,395
576,669,725,395
577,667,725,396
578,667,725,396
579,665,724,396
580,663,724,397
581,663,725,397
582,662,725,399
583,662,724,400
584,660,724,400
585,657,724,399
586,657,724,399
587,654,724,399
588,652,724,404
589,652,723,405
590,650,723,405
591,648,723,406
592,648,723,405
593,646,722,405
594,643,722,405
595,643,722,408
596,641,722,408
597,639,722,407
598,639,721,410
599,637,721,410
600,635,721,411
601,635,721,409
602,632,721,409
603,632,721,411
604,630,720,411
605,628,720,413
606,628,720,416
607,625,719,416
608,623,719,417
609,623,719,418
610,622,718,418
611,621,718,417
612,621,718,418
613,619,718,418
614,616,718,418
615,616,717,420
616,615,717,420
617,612,717,421
618,612,717,421
619,610,716,421
620,610,716,424
621,609,716,424
622,607,716,425
623,607,716,425
624,605,715,425
625,603,715,427
626,603,715,428
627,601,714,428
628,600,714,428
629,600,714,429
630,598,714,429
631,597,714,430
632,597,713,431
633,595,713,431
634,593,713,431
635,593,712,433
636,591,712,433
637,591,712,434
638,590,712,434
639,588,712,434
640,588,711,436
641,586,711,436
642,584,711,436
643,584,710,438
644,582,710,438
645,580,710,438
646,580,709,439
647,579,709,439
648,577,709,441
649,577,708,441
650,575,708,441
651,573,708,442
652,573,708,442
653,571,708,443
654,571,707,442
655,570,706,442
656,569,706,442
657,569,706,444
658,568,705,444
659,567,705,447
660,567,705,447
661,565,705,447
662,564,705,447
663,564,704,447
664,562,704,447
665,560,704,448
666,560,704,449
667,559,703,449
668,559,703,452
669,557,703,452
670,556,703,454
671,556,702,455
672,554,702,455
673,552,702,456
674,552,701,456
675,551,701,456
676,549,701,456
677,549,700,457
678,547,700,457
679,547,700,457
680,547,699,458
681,545,698,458
682,543,698,458
683,543,698,459
684,542,698,459
685,540,698,461
686,540,698,461
687,539,698,460
688,539,697,459
689,538,696,459
690,536,696,462
691,536,696,461
692,535,695,461
693,533,695,463
694,533,695,464
695,532,694,464
696,530,694,465
697,530,694,465
698,529,694,465
699,527,694,466
700,527,693,466
701,526,693,467
702,526,692,467
703,524,692,467
704,522,692,468
705,522,691,468
706,521,691,468
707,519,691,469
708,519,690,470
709,517,690,470
710,516,690,470
711,516,689,471
712,515,688,471
713,512,688,472
714,512,688,472
715,511,688,472
716,509,688,473
717,509,687,474
718,507,687,474
719,507,687,474
720,505,685,474
721,503,685,475
722,503,685,476
723,501,684,476
724,499,684,477
725,499,683,477
726,497,683,477
727,496,683,478
728,496,682,479
729,495,681,479
730,493,681,480
731,493,680,480
732,492,680,480
733,490,680,481
734,490,679,481
735,488,679,481
736,488,678,482
737,487,678,482
738,485,678,482
739,485,677,484
740,483,677,484
741,482,677,484
742,482,676,485
743,480,675,485
744,478,675,485
745,478,674,485
746,477,673,485
747,475,673,487
748,475,672,488
749,473,672,488
750,471,672,488
751,471,671,488
752,469,671,488
753,469,670,490
754,468,669,490
755,466,669,491
756,466,669,493
757,464,668,493
758,463,668,494
759,463,667,493
760,461,666,493
761,460,666,493
762,460,665,495
763,459,664,495
764,457,664,496
765,457,664,497
766,456,664,497
767,454,664,497
768,454,663,498
769,452,663,498
770,452,662,499
771,451,661,499
772,449,661,499
773,449,660,498
774,448,659,498
775,446,659,499
776,446,659,499
777,445,657,499
778,443,657,500
779,443,657,501
780,442,656,501
781,441,656,502
782,441,655,502
783,440,655,502
784,438,655,502
785,438,654,503
786,436,653,503
787,436,653,503
788,435,652,503
789,434,652,504
790,434,651,505
791,432,651,505
792,430,651,505
793,430,650,506
794,429,649,506
795,427,649,506
796,427,649,507
797,426,648,507
798,425,648,508
799,425,647,508
800,424,646,508
801,422,646,509
802,422,645,508
803,421,644,508
804,419,644,509
805,419,643,509
806,418,643,510
807,418,643,510
808,417,642,510
809,415,642,511
810,415,641,512
811,414,640,512
812,413,640,512
813,413,639,513
814,412,639,513
815,412,639,513
816,412,638,514
817,410,637,514
818,408,637,514
819,408,637,515
820,407,636,515
821,407,636,515
822,406,636,515
823,404,636,515
824,404,634,516
825,403,633,516
826,402,633,517
827,402,633,517
828,401,632,517
829,399,632,516
830,399,631,518
831,397,631,518
832,395,631,518
833,395,629,517
834,395,629,517
835,393,629,517
836,393,627,517
837,392,627,517
838,392,626,517
839,390,626,517
840,388,626,520
841,388,625,521
842,387,624,521
843,386,624,519
844,386,622,521
845,384,622,521
846,382,622,523
847,382,621,521
848,381,620,521
849,379,620,521
850,379,619,524
851,378,618,524
852,377,618,525
853,377,617,525
854,375,617,524
855,375,616,523
856,374,615,523
857,373,615,524
858,373,614,525
859,371,613,525
860,370,613,526
861,370,612,527
862,369,611,527
863,367,611,526
864,367,610,525
865,367,609,525
866,365,609,527
867,365,608,527
868,364,608,527
869,363,608,528
870,363,607,528
871,362,606,528
872,360,606,528
873,360,605,529
874,359,605,529
875,359,604,529
876,358,603,529
877,357,603,529
878,357,602,529
879,355,601,529
880,354,601,529
881,354,600,530
882,353,599,530
883,352,599,531
884,352,598,532
885,351,597,532
886,350,597,533
887,350,596,533
888,349,596,533
889,348,596,533
890,348,595,534
891,346,595,534
892,346,594,534
893,345,593,534
894,344,593,534
895,344,592,533
896,343,591,533
897,342,591,532
898,342,590,533
899,340,589,533
900,339,589,533
901,339,588,534
902,338,587,534
903,337,587,534
904,337,587,534
905,336,586,534
906,335,586,535
907,335,585,535
908,334,585,535
909,334,584,535
910,333,583,535
911,331,583,535
912,331,582,535
913,330,581,535
914,329,581,536
915,329,580,536
916,329,579,536
917,328,579,536
918,328,579,536
919,327,578,536
920,326,578,537
921,326,578,537
922,325,577,537
923,324,577,537
924,324,576,537
925,322,576,537
926,322,574,537
927,321,574,537
928,320,574,537
929,320,572,538
930,319,571,538
931,318,571,538
932,318,571,538
933,317,570,538
934,316,570,538
935,316,569,539
936,315,568,539
937,314,568,539
938,314,567,539
939,313,567,539
940,312,567,538
941,312,566,539
942,311,565,539
943,311,565,540
944,310,563,540
945,309,563,540
946,309,562,541
947,308,562,541
948,307,562,540
949,307,561,538
950,306,560,538
951,306,560,541
952,306,559,541
953,305,558,541
954,304,558,541
955,304,558,540
956,303,557,540
957,302,557,540
958,302,556,539
959,301,555,539
960,300,555,539
961,300,554,540
962,299,554,540
963,299,553,542
964,298,553,542
965,298,553,541
966,298,552,539
967,297,550,539
968,296,550,540
969,296,550,542
970,295,550,542
971,294,550,541
972,294,549,540
973,293,548,540
974,292,548,541
975,292,547,542
976,291,546,542
977,291,546,540
978,290,545,540
979,289,545,540
980,289,544,541
981,289,543,541
982,288,543,542
983,288,543,541
984,287,541,541
985,286,541,541
986,286,540,541
987,285,540,541
988,284,540,541
989,284,539,543
990,283,538,543
991,282,538,541
992,282,537,541
993,281,536,541
994,281,536,541
995,280,535,541
996,278,535,543
997,278,534,542
998,278,533,542
999,276,533,542
1000,276,532,542
1001,275,531,542
1002,275,531,542
1003,275,530,542
1004,274,529,542
1005,273,529,542
1006,273,528,543
1007,272,527,543
1008,271,527,542
1009,271,526,542
1010,270,526,542
1011,270,525,542
1012,269,524,542
1013,268,524,542
1014,268,523,542
1015,267,523,542
1016,266,523,542
1017,266,522,542
1018,266,521,542
1019,265,521,542
1020,265,520,542
1021,264,519,542
1022,263,519,542
1023,263,518,542
1024,262,517,542
1025,261,517,542
1026,261,516,542
1027,260,516,542
1028,260,515,542
1029,259,514,542
1030,258,514,542
1031,258,513,542
1032,257,512,542
1033,256,512,541
1034,256,512,542
1035,256,510,542
1036,255,510,542
1037,255,509,542
1038,254,509,542
1039,253,509,542
1040,253,508,542
1041,252,508,542
1042,252,507,542
1043,252,506,542
1044,251,506,541
1045,251,505,542
1046,250,504,542
1047,249,504,541
1048,249,503,542
1049,248,502,542
1050,247,502,541
1051,247,501,540
1052,246,500,540
1053,246,500,540
1054,246,499,540
1055,245,499,540
1056,244,499,539
1057,244,498,539
1058,243,498,541
1059,243,497,541
1060,242,496,541
1061,241,496,541
1062,241,495,540
1063,240,494,540
1064,240,494,540
1065,240,493,541
1066,239,492,541
1067,238,492,541
1068,238,491,542
1069,238,490,542
1070,238,490,542
1071,238,489,542
1072,237,488,542
1073,236,488,542
1074,236,488,542
1075,236,488,541
1076,236,487,541
1077,235,486,541
1078,234,486,541
1079,234,486,541
1080,232,484,541
1081,232,484,538
1082,232,483,538
1083,231,483,538
1084,230,483,539
1085,230,481,540
1086,229,480,540
1087,228,480,539
1088,228,479,538
1089,227,479,538
1090,227,479,538
1091,227,477,538
1092,226,477,538
1093,226,477,538
1094,225,476,538
1095,224,476,537
1096,224,475,538
1097,224,474,538
1098,223,474,538
1099,223,473,537
1100,222,472,537
1101,221,472,538
1102,221,472,537
1103,220,470,537
1104,220,470,537
1105,220,469,536
1106,219,468,536
1107,218,468,537
1108,218,467,536
1109,217,466,536
1110,217,466,536
1111,216,465,536
1112,216,465,536
1113,216,464,536
1114,215,463,536
1115,214,463,535
1116,214,463,535
1117,213,462,535
1118,213,462,535
1119,213,461,535
1120,212,460,535
1121,211,460,535
1122,211,459,534
1123,211,459,534
1124,211,459,533
1125,211,458,533
1126,210,456,533
1127,210,456,534
1128,209,456,534
1129,208,456,534
1130,208,455,535
1131,208,454,535
1132,207,454,532
1133,207,453,533
1134,206,452,533
1135,206,452,534
1136,206,451,532
1137,205,450,532
1138,204,450,530
1139,204,449,530
1140,204,448,530
1141,203,448,530
1142,203,448,531
1143,203,447,531
1144,202,447,532
1145,202,446,532
1146,201,446,533
1147,201,445,530
1148,201,444,530
1149,200,444,532
1150,200,443,529
1151,199,443,529
1152,198,443,530
1153,198,442,529
1154,197,441,529
1155,197,441,529
1156,197,440,530
1157,196,439,530
1158,195,439,529
1159,195,437,529
1160,194,437,529
1161,194,437,529
1162,194,436,529
1163,193,436,528
1164,193,435,528
1165,192,434,528
1166,192,434,528
1167,192,433,527
1168,191,432,527
1169,191,432,528
1170,191,431,527
1171,190,430,527
1172,190,430,527
1173,190,430,526
1174,189,429,526
1175,188,429,526
1176,188,428,526
1177,188,428,526
1178,188,428,526
1179,187,426,526
1180,187,426,526
1181,187,425,525
1182,186,425,525
1183,185,425,525
1184,185,424,524
1185,184,423,524
1186,184,423,524
1187,184,422,524
1188,184,421,524
1189,183,421,523
1190,183,421,524
1191,182,419,524
1192,182,419,524
1193,182,419,522
1194,181,418,522
1195,181,418,521
1196,181,417,521
1197,180,417,521
1198,180,416,521
1199,179,415,521
1200,179,415,523
1201,179,415,520
1202,178,414,520
1203,178,414,522
1204,178,413,522
1205,177,412,522
1206,176,412,522
1207,176,411,521
1208,176,410,521
1209,175,410,521
1210,175,409,522
1211,175,408,522
1212,174,408,521
1213,174,407,521
1214,173,407,521
1215,173,407,521
1216,173,406,521
1217,172,406,520
1218,172,405,519
1219,171,404,519
1220,171,404,517
1221,171,403,516
1222,171,402,516
1223,170,402,515
1224,170,402,516
1225,170,401,516
1226,169,401,516
1227,169,400,516
1228,169,399,516
1229,168,399,515
1230,168,399,515
1231,167,399,515
1232,167,398,514
1233,167,397,514
1234,166,397,514
1235,166,396,513
1236,166,395,513
1237,165,395,513
1238,165,395,513
1239,164,394,513
1240,164,394,513
1241,164,393,513
1242,164,392,513
1243,163,392,513
1244,163,391,512
1245,163,391,512
1246,163,391,512
1247,163,390,512
1248,162,390,512
1249,162,390,510
1250,161,389,510
1251,161,389,511
1252,161,388,510
1253,161,387,510
1254,160,387,510
1255,160,386,510
1256,159,386,510
1257,159,386,509
1258,159,385,508
1259,159,384,508
1260,158,384,509
1261,158,384,508
1262,158,383,508
1263,158,383,508
1264,157,382,508
1265,157,382,508
1266,157,382,507
1267,156,381,507
1268,155,381,507
1269,155,380,506
1270,155,379,506
1271,154,379,506
1272,154,378,506
1273,154,378,506
1274,154,378,505
1275,154,377,504
1276,153,376,504
1277,152,376,504
1278,152,375,504
1279,152,375,503
1280,152,374,504
1281,151,373,504
1282,151,373,505
1283,151,373,505
1284,150,372,505
1285,150,372,503
1286,150,372,502
1287,149,371,502
1288,149,371,503
1289,149,370,503
1290,148,369,503
1291,148,369,501
1292,148,368,499
1293,148,368,499
1294,147,368,498
1295,147,367,498
1296,147,367,498
1297,147,366,499
1298,146,365,499
1299,145,365,499
1300,145,364,498
1301,145,364,498
1302,145,364,497
1303,145,363,497
1304,144,362,497
1305,144,362,499
1306,144,362,497
1307,144,361,497
1308,143,361,495
1309,143,360,495
1310,143,360,495
1311,143,359,495
1312,142,359,495
1313,141,359,496
1314,141,358,496
1315,141,357,496
1316,140,357,494
1317,140,356,495
1318,140,355,495
1319,139,355,495
1320,139,354,495
1321,139,354,495
1322,138,354,494
1323,138,353,493
1324,138,352,493
1325,138,352,492
1326,138,351,492
1327,137,351,492
1328,137,350,492
1329,137,350,492
1330,136,350,491
1331,136,350,491
1332,136,349,491
1333,135,349,490
1334,135,348,490
1335,135,347,490
1336,134,347,490
1337,134,346,489
1338,134,346,489
1339,133,346,489
1340,133,344,488
1341,133,343,488
1342,133,343,488
1343,132,343,488
1344,132,343,487
1345,132,342,487
1346,132,341,487
1347,131,341,486
1348,131,340,486
1349,131,340,486
1350,130,340,485
1351,130,339,485
1352,130,338,485
1353,129,338,485
1354,129,338,484
1355,129,337,484
1356,129,337,483
1357,129,336,483
1358,128,336,483
1359,128,336,483
1360,128,335,482
1361,127,335,482
1362,127,334,482
1363,127,333,482
1364,127,333,482
1365,127,333,481
1366,126,332,481
1367,126,332,480
1368,126,331,480
1369,125,331,480
1370,125,331,480
1371,125,330,479
1372,124,329,479
1373,124,329,478
1374,124,328,478
1375,124,328,478
1376,123,328,478
1377,123,327,477
1378,123,327,477
1379,123,326,477
1380,122,325,477
1381,122,325,476
1382,122,325,476
1383,122,325,476
1384,121,325,475
1385,121,323,475
1386,121,323,475
1387,120,323,475
1388,120,322,474
1389,120,321,474
1390,119,321,473
1391,119,320,473
1392,119,319,473
1393,118,319,473
1394,118,319,473
1395,118,319,474
1396,118,318,473
1397,117,317,473
1398,117,317,471
1399,117,316,470
1400,117,316,470
1401,116,316,470
1402,116,315,471
1403,116,314,471
1404,115,314,471
1405,115,314,467
1406,115,313,467
1407,115,313,469
1408,115,312,468
1409,115,312,468
1410,115,312,465
1411,115,311,468
1412,114,311,468
1413,114,310,469
1414,113,309,469
1415,113,309,467
1416,113,308,466
1417,112,308,466
1418,112,308,464
1419,112,307,464
1420,111,306,464
1421,111,306,464
1422,111,305,464
1423,111,305,464
1424,110,305,464
1425,110,304,464
1426,110,303,464
1427,110,303,461
1428,110,303,461
1429,110,302,461
1430,110,302,462
1431,109,302,462
1432,109,302,462
1433,109,301,460
1434,109,300,460
1435,108,300,459
1436,108,300,458
1437,108,299,458
1438,108,299,458
1439,108,298,457
1440,107,297,457
1441,107,297,456
1442,106,297,456
1443,106,296,456
1444,106,296,456
1445,106,296,457
1446,106,295,456
1447,105,295,456
1448,105,294,454
1449,105,293,454
1450,105,293,455
1451,105,293,453
1452,104,292,453
1453,104,292,454
1454,104,292,454
1455,104,291,454
1456,103,291,452
1457,103,290,452
1458,103,289,452
1459,103,289,451
1460,103,289,451
1461,103,288,451
1462,102,288,450
1463,102,288,449
1464,102,287,449
1465,101,287,449
1466,101,287,449
1467,101,287,449
1468,101,286,448
1469,101,285,448
1470,101,285,447
1471,101,285,447
1472,100,284,447
1473,100,284,446
1474,100,284,446
1475,99,283,446
1476,99,283,446
1477,99,282,445
1478,99,282,445
1479,99,282,445
1480,99,281,444
1481,99,280,444
1482,98,280,444
1483,98,279,444
1484,98,279,443
1485,98,279,443
1486,98,278,443
1487,97,278,442
1488,97,278,442
1489,97,277,442
1490,96,277,440
1491,96,276,441
1492,95,276,441
1493,95,276,441
1494,95,275,438
1495,95,274,438
1496,95,274,439
1497,95,274,440
1498,94,273,440
1499,94,273,438
1500,94,273,437
1501,94,273,437
1502,94,272,437
1503,94,272,437
1504,94,272,437
1505,94,271,436
1506,93,270,436
1507,93,270,436
1508,93,270,435
1509,93,269,435
1510,92,269,435
1511,92,268,434
1512,92,267,434
1513,92,267,434
1514,92,267,433
1515,91,267,433
1516,91,267,432
1517,91,266,432
1518,91,265,432
1519,91,265,431
1520,91,265,431
1521,90,265,430
1522,90,264,430
1523,90,263,430
1524,90,263,430
1525,90,263,430
1526,89,262,430
1527,89,262,428
1528,89,262,428
1529,89,261,428
1530,88,261,428
1531,88,260,428
1532,88,260,428
1533,88,260,427
1534,88,259,425
1535,88,259,425
1536,87,259,426
1537,87,258,426
1538,87,257,426
1539,87,257,424
1540,87,257,424
1541,87,257,423
1542,87,256,424
1543,86,255,424
1544,86,255,423
1545,86,255,422
1546,85,254,422
1547,85,254,423
1548,85,254,421
1549,84,253,421
1550,84,253,421
1551,84,253,421
1552,84,252,421
1553,83,252,420
1554,83,251,419
1555,83,250,419
1556,84,250,419
1557,84,250,418
1558,83,249,418
1559,83,249,418
1560,83,249,418
1561,82,249,417
1562,82,248,416
1563,82,248,416
1564,82,248,416
1565,82,247,415
1566,81,246,415
1567,82,246,415
1568,82,246,414
1569,81,245,414
1570,81,245,413
1571,81,245,413
1572,81,244,413
1573,81,244,413
1574,81,243,412
1575,80,243,412
1576,80,243,411
1577,80,242,410
1578,80,241,410
1579,80,241,411
1580,79,241,411
1581,79,241,410
1582,79,241,409
1583,79,240,409
1584,79,240,409
1585,79,239,408
1586,78,239,408
1587,78,239,408
1588,78,238,407
1589,78,237,407
1590,77,237,406
1591,77,237,407
1592,77,236,407
1593,77,236,405
1594,77,236,406
1595,77,235,406
1596,76,235,404
1597,76,235,404
1598,76,235,404
1599,76,234,404
1600,76,234,404
1601,75,234,403
1602,75,233,402
1603,75,233,402
1604,75,233,401
1605,75,232,401
1606,75,231,401
1607,75,231,401
1608,75,231,400
1609,75,231,400
1610,75,231,399
1611,75,230,399
1612,74,230,399
1613,74,230,399
1614,74,229,398
1615,74,228,398
1616,74,228,397
1617,74,228,397
1618,74,228,397
1619,74,227,396
1620,73,227,396
1621,72,227,395
1622,72,227,395
1623,73,226,395
1624,72,226,396
1625,72,226,394
1626,72,225,394
1627,71,225,394
