t,MR,condition_id,T
32.0,0.958507154892495,T60,60.0
34.0,0.9573760479106972,T60,60.0
36.0,0.972803953382005,T60,60.0
38.0,0.9509846233932596,T60,60.0
40.0,0.9499298249898933,T60,60.0
42.0,0.9541998048791416,T60,60.0
44.0,0.9471790110636393,T60,60.0
46.0,0.9441321772478036,T60,60.0
48.0,0.9326881415748519,T60,60.0
50.0,0.9414428680638772,T60,60.0
52.0,0.934857003336245,T60,60.0
54.0,0.94869427608997,T60,60.0
56.0,0.9413095029456573,T60,60.0
58.0,0.9322882251273161,T60,60.0
60.0,0.9369699255282126,T60,60.0
62.0,0.9246492714984413,T60,60.0
64.0,0.93633646701566,T60,60.0
66.0,0.9235338159813935,T60,60.0
68.0,0.9271996021038195,T60,60.0
70.0,0.9062401590072501,T60,60.0
72.0,0.9204045379106987,T60,60.0
74.0,0.8978496624419773,T60,60.0
76.0,0.8921776877924786,T60,60.0
78.0,0.9072907767545084,T60,60.0
80.0,0.8991461196706144,T60,60.0
82.0,0.9076010431363029,T60,60.0
84.0,0.9262284574171668,T60,60.0
86.0,0.8932892792052988,T60,60.0
88.0,0.8931979262999495,T60,60.0
90.0,0.8993274714620811,T60,60.0
92.0,0.9000448408891806,T60,60.0
94.0,0.8911971169009072,T60,60.0
96.0,0.888753524958467,T60,60.0
98.0,0.8956942771642693,T60,60.0
100.0,0.8917306995513908,T60,60.0
102.0,0.8740619842390362,T60,60.0
104.0,0.8814791801877251,T60,60.0
106.0,0.8805012317644265,T60,60.0
108.0,0.8674859937351976,T60,60.0
110.0,0.8785168021280195,T60,60.0
112.0,0.865231499746128,T60,60.0
114.0,0.88142945499752,T60,60.0
116.0,0.8715390282509207,T60,60.0
118.0,0.8684124608267164,T60,60.0
120.0,0.8595219727831024,T60,60.0
0.0,0.9988139017612231,T70,70.0
2.0,0.9771157658137896,T70,70.0
4.0,0.9828808320996307,T70,70.0
6.0,0.9949334076176535,T70,70.0
8.0,0.9671378422985053,T70,70.0
10.0,0.994016476874892,T70,70.0
12.0,0.9652246573554008,T70,70.0
14.0,0.9873965648146309,T70,70.0
16.0,0.96852607016248,T70,70.0
18.0,0.9819310909274271,T70,70.0
20.0,0.9726190865771858,T70,70.0
22.0,0.9531178503454776,T70,70.0
24.0,0.9781625193956116,T70,70.0
26.0,0.9772811186558733,T70,70.0
28.0,0.9594071725039994,T70,70.0
30.0,0.9545353688512562,T70,70.0
32.0,0.9528932838197046,T70,70.0
34.0,0.9419659404760781,T70,70.0
36.0,0.9599369063330221,T70,70.0
38.0,0.9407637358143217,T70,70.0
40.0,0.9429303853910531,T70,70.0
42.0,0.9327669545559982,T70,70.0
44.0,0.9317047881058811,T70,70.0
46.0,0.9224618163754541,T70,70.0
48.0,0.9450912349880067,T70,70.0
50.0,0.928269042211058,T70,70.0
52.0,0.9367663893863254,T70,70.0
54.0,0.9245455306848266,T70,70.0
56.0,0.9147811943797064,T70,70.0
58.0,0.9157791326521657,T70,70.0
60.0,0.9107722182932383,T70,70.0
62.0,0.9137904286490305,T70,70.0
64.0,0.9073022208601724,T70,70.0
66.0,0.905407443931755,T70,70.0
68.0,0.8919803838775595,T70,70.0
70.0,0.8950648164882427,T70,70.0
72.0,0.9170486494050993,T70,70.0
74.0,0.8911781707684931,T70,70.0
76.0,0.8847396027487966,T70,70.0
78.0,0.896051428208216,T70,70.0
80.0,0.9041560756464743,T70,70.0
82.0,0.8729558419172456,T70,70.0
84.0,0.882831118349011,T70,70.0
86.0,0.8760235619192992,T70,70.0
88.0,0.8621691202830418,T70,70.0
90.0,0.884571264893355,T70,70.0
92.0,0.8744376749258844,T70,70.0
94.0,0.8728440607936379,T70,70.0
96.0,0.862071446249371,T70,70.0
98.0,0.871614690128592,T70,70.0
100.0,0.8591535100105149,T70,70.0
102.0,0.8606044125517056,T70,70.0
104.0,0.8484451026752947,T70,70.0
106.0,0.8448682325511488,T70,70.0
108.0,0.8678933906862896,T70,70.0
110.0,0.8469830783816957,T70,70.0
112.0,0.8524942025493194,T70,70.0
114.0,0.846769967474,T70,70.0
116.0,0.8402340709805437,T70,70.0
118.0,0.8371107219760412,T70,70.0
120.0,0.8460431029447023,T70,70.0
